llave_10,fraccion_8,nico,descripcion_completa,unidad_medida,arancel_importacion,nota_importacion,arancel_exportacion,nota_exportacion,regulaciones_economia
0101210100,01012101,00,Reproductores de raza pura.,Cbza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0101290200,01012902,00,"Sin pedigree, para reproducción.",Pza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0101290300,01012903,00,"Para abasto, cuando la importación la realicen empacadoras Tipo Inspección Federal.",Pza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0101299901,01012999,01,Para saltos o carreras.,Pza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0101299999,01012999,99,Los demás.,Pza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0101300100,01013001,00,Asnos.,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0101909900,01019099,00,Los demás.,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0102210100,01022101,00,Reproductores de raza pura.,Cbza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0102290100,01022901,00,Vacas lecheras.,Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0102290200,01022902,00,"Con pedigree o certificado de alto registro, excepto lo comprendido en la fracción arancelaria 0102.29.01.",Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0102299900,01022999,00,Los demás.,Pza,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0102310100,01023101,00,Reproductores de raza pura.,Cbza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0102399900,01023999,00,Los demás.,Cbza,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0102909900,01029099,00,Los demás.,Cbza,15.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0103100100,01031001,00,Reproductores de raza pura.,Cbza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0103910100,01039101,00,Con pedigree o certificado de alto registro.,Cbza,9.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0103919900,01039199,00,Los demás.,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0103920100,01039201,00,Con pedigree o certificado de alto registro.,Cbza,9.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0103929900,01039299,00,Los demás.,Cbza,20.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0104100100,01041001,00,Con pedigree o certificado de alto registro.,Pza,0.0,Ex.,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0104109901,01041099,01,Para abasto.,Pza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
0104109999,01041099,99,Los demás.,Pza,10.0,,0.0,Ex.,Sin NOM específica en Anexo 2.4.1
